Zirport ID,Name,City,Country ,IATA,ICAO,Latitude,Longitude,Altidude,Time Zone,DST,Database time zone,Type of Airport,Source
13077,Anderson Municipal Darlington Field,ANDERSON,United States,AID,KAID,40.11,-85.61,919,-4,A,\N,airport,OurAirports
13080,Prairie Du Chien Municipal Airport,Prairie du Chien,United States,PCD,KPDC,43.02,-91.12,661,-6,A,\N,airport,OurAirports
13098,Air Orlando Heliport,Orlando,United States,\N,2FD7,28.44,-81.47,120,-5,A,\N,airport,OurAirports
13123,Stanly County Airport,Albemarle,United States,\N,KVUJ,35.42,-80.15,609,-4,A,\N,airport,OurAirports
13124,Davidson County Airport,Lexington,United States,\N,KEXX,35.78,-80.3,733,-4,A,\N,airport,OurAirports
13126,Windwood Fly-In Resort Airport,Davis,United States,\N,WV62,39.06,-79.43,3210,-4,A,\N,airport,OurAirports
13127,Lathan Strip,Mocksville,United States,\N,5NC2,34.88,-80.62,575,-4,A,\N,airport,OurAirports
13130,Double Eagle II Airport,Albuquerque,United States,\N,KAEG,35.15,-106.79,5837,-6,A,\N,airport,OurAirports
13131,Socorro Municipal Airport,Socorro,United States,\N,KONM,34.02,-106.9,4875,-6,A,\N,airport,OurAirports
13135,Bentonville Municipal-Louise M Thaden Field,Bentonville,United States,\N,KVBT,36.35,-94.22,1296,-5,A,\N,airport,OurAirports
13137,Blue Ridge Airport,Martinsville,United States,\N,KMTV,36.63,-80.02,941,-4,A,\N,airport,OurAirports
13138,Mount Airy Surry County Airport,Mount Airy,United States,\N,KMWK,36.46,-80.55,1249,-4,A,\N,airport,OurAirports
13139,Taos Regional Airport,Taos,United States,TSM,KSKX,36.46,-105.67,7095,-6,A,\N,airport,OurAirports
13142,Raton Municipal-Crews Field,Raton,United States,RTN,KRTN,36.74,-104.5,6352,-6,A,\N,airport,OurAirports
13144,Rusk County Airport,Ladysmith,United States,\N,KRCX,45.5,-91,1238,-5,A,\N,airport,OurAirports
13154,Perry Lefors Field,Pampa,United States,PPA,KPPA,35.61,-101,3245,-5,A,\N,airport,OurAirports
13155,William R. Pogue Municipal Airport,Sand Springs,United States,\N,KOWP,36.18,-96.15,892,-5,A,\N,airport,OurAirports
13156,Marion County Regional Airport,Flippin,United States,FLP,KFLP,36.29,-92.59,719,-5,A,\N,airport,OurAirports
13158,Hutchinson County Airport,Borger,United States,BGD,KBGD,35.7,-101.39,3055,-5,A,\N,airport,OurAirports
13189,Santa Ynez Airport,Santa Ynez,United States,SQA,KIZA,34.61,-120.08,674,-8,A,\N,airport,OurAirports
13233,Spartanburg Downtown Memorial Airport,Spartangurg,United States,SPA,KSPA,34.92,-81.96,801,-5,A,\N,airport,OurAirports
13265,Tri-City Airport,Parsons,United States,PPF,KPPF,37.33,-95.51,900,-6,A,\N,airport,OurAirports
13267,Waycross Ware County Airport,Waycross,United States,AYS,KAYS,31.25,-82.4,142,-5,A,\N,airport,OurAirports
13269,Mid-State Regional Airport,Philipsburg,United States,\N,KPSB,40.88,-78.09,1948,-5,A,\N,airport,OurAirports
13271,Greater Portsmouth Regional Airport,Portsmouth,United States,PMH,KPMH,38.84,-82.85,663,-5,A,\N,airport,OurAirports
13309,Camilla Mitchell County Airport,Camilla,United States,\N,KCXU,31.21,-84.24,175,-5,U,\N,airport,OurAirports
